dimension,indicator,assessment_question,evidence_examples,score_0_to_5
"System identity and configuration","Asset inventory","Can every deployed unit be identified consistently?","VIN; serial number; internal unit ID; hardware revision",
"System identity and configuration","Software configuration","Can software and model versions be traced by unit and date?","ADS version; model version; firmware; maps; release manifest",
"System identity and configuration","Technical configuration","Is the safety-relevant hardware configuration recorded?","Sensors; compute; communications; fallback equipment",
"System identity and configuration","Change history","Can a reviewer reconstruct what changed and who approved it?","Deployment log; configuration diff; approval; rollback record",
"Operating domain and exposure","Operating domain","Are operating boundaries explicit and testable?","Geography; road or facility type; task; weather; speed; hours",
"Operating domain and exposure","Utilization","Is exposure measured by unit and period?","Mileage; operating hours; trips; tasks; cycles",
"Operating domain and exposure","Exposure segmentation","Can activity be separated into meaningful risk groups?","Route; customer; cargo; passenger; task; use case",
"Operating domain and exposure","Domain exceptions","Are abnormal and out-of-domain events retained?","Boundary excursion; override; degraded mode; exception log",
"Human oversight and controls","Accountability","Are operational and safety owners named?","RACI; duty roster; deployment owner; incident lead",
"Human oversight and controls","Interventions","Are human assistance and override events recorded with context?","Remote assist; takeover; stop; override; reason code",
"Human oversight and controls","Qualifications","Can the company show who is qualified to operate and service the system?","Training; certification; authorization; recency records",
"Human oversight and controls","Escalation procedures","Are minimum-risk and emergency actions documented and tested?","Shutdown; safe stop; escalation tree; emergency drill",
"Maintenance and change management","Preventive maintenance","Can scheduled work be compared with completed work by unit?","Maintenance plan; work order; completion timestamp",
"Maintenance and change management","Inspection and calibration","Are inspection and calibration outcomes source-linked?","Inspection checklist; calibration result; repair; return to service",
"Maintenance and change management","Defects and remediation","Can defects be followed through closure?","Defect log; recall; degradation alert; remediation evidence",
"Maintenance and change management","Release controls","Are software changes validated and reversible?","Test result; approval gate; monitoring plan; rollback plan",
"Incidents and outcomes","Event taxonomy","Are incidents and near misses classified consistently?","Collision; near miss; safety intervention; severity; event type",
"Incidents and outcomes","Event reconstruction","Can a reviewer reconstruct an event from primary evidence?","Timeline; telemetry; video; system log; witness statement",
"Incidents and outcomes","Loss outcomes","Are injury property regulatory claim and loss outcomes connected to events?","Claim file; payment; reserve; citation; third-party damage",
"Incidents and outcomes","Corrective action","Can the company show what changed after an event and whether it worked?","Root cause; action owner; deadline; validation; recurrence monitor",
